Start time in 0:hr:min:sec	End time in 0:hr:min:sec	Annotations-Interviewer	Layer	Index
0:00:00	0:00:33	Clarifying the interview and background information. Asking Background information.	interviwer	
0:00:33	0:01:08	Answering question from childhood experience	interviwee	
0:01:08	0:01:22	Awswering question from middle school experience	interviwee	
0:01:22	0:02:38	Awswering question from university experience.	interviwee	
0:02:39	0:02:56	Drawing conclusions that interest in journalism comes from childhood experince.	interviwee	
0:02:56	0:03:07	Asking follow-up question about Sosa's ideas about "opinions' have significance".	interviewer	
0:03:07	0:04:22	Sosa reminiscing the newspaper background of her childhood, and did not know why there are no coverage on hispanics	interviwee	
0:04:22	0:04:53	Former attorney in UT Austin make it possible for hispanic students to go to colleges	interviwee	
0:04:56	0:05:14	Asking Sosa's memories on hispanic activism movements back in 60s, and what is her opinions on it.	interviewer	
0:05:14	0:05:45	Coverage on newspaper were defensive, there were no coverage on who is involoved in the movements.	interviwee	
0:05:45	0:05:50	Asking a specific question to follow up the story- how Sosa think about the movement	interviewer	
0:05:50	0:07:29	Sosa began to realize the power of media in changing how hispanics are viewed from the change in school system in her hometown	interviewer	
0:07:29	0:07:41	Follow up question to clarify which local paper was Sosa talking about	interviewer	
0:07:41	0:07:46	Asking a follow-up question on if Sosa remembered her father commenting on the newspaper or events.	interviewer	
0:07:46	0:08:20	Sosa thinks her father was rather using newspaper to educate her in her father's own way rather than commenting.	interviewee	
0:08:20	0:08:29	Comparison question: interviewer asked if Sosa's peers have the same opinions on newspaper as she did.	interviewer	
0:08:30	0:09:19	Sosa do not think she had any conversations about politics or political movements with her peers or teachers in her early school life.	interviewee	
0:09:19	0:09:27	Follow up question on whether if Sosa had the experience of talking politics on high school.	interviewer	
0:09:27	0:10:15	There were no conversations about hispanic movements at high school due to majority of the students there were white, and came from wealthier families.	interviewee	
0:10:15	0:10:28	Interviewer change of subject. He asked Sosa if she ever considered going to journalism at UT at some point back then and why. Sosa smiled.	interviewer	
